FSLY	1.4	0.0	0.0	0.0	0.5	1.0	0.5	0.0	7
FUTU	1.8	0.0	0.5	0.0	0.5	1.0	0.0	0.5	7
FTNT	2.9	1.0	2.0	0.0	0.5	0.5	0.0	0.0	7
FOSL	4.3	1.5	0.5	0.0	2.0	1.5	0.0	0.5	7
0B2.DE	3.6	0.5	1.5	0.0	1.0	1.0	1.0	0.0	4
1SXP.DE	4.6	1.0	1.5	0.0	0.5	1.0	1.0	1.5	5
FWONK	1.4	0.5	0.0	0.0	0.5	1.0	0.0	0.0	7
2HRA.DE	3.9	0.0	1.5	0.0	0.5	1.0	1.0	1.5	5
3SQ1.DE	3.2	1.0	0.5	0.0	0.5	1.0	1.0	0.5	5
8TRA.DE	5.7	1.5	0.5	1.0	1.0	1.0	1.0	2.0	5
ABX.DE	4.3	1.0	1.5	0.0	0.5	1.0	1.0	1.0	4
AAQ1.DE	2.5	0.0	0.0	0.0	0.5	1.0	1.0	1.0	5
AAD.DE	4.6	1.0	2.0	0.0	1.0	1.0	1.0	0.5	5
ACX.DE	3.9	1.5	0.0	0.0	0.0	1.0	1.0	2.0	5
ADN1.DE	4.6	1.0	0.5	0.0	1.5	1.0	1.0	1.5	5
AEIN.DE	3.9	0.5	1.5	0.0	0.5	1.0	1.0	1.0	5
AMV0.DE	3.9	1.0	0.5	1.0	0.0	1.0	1.0	1.0	4
ALG.DE	6.4	0.0	1.0	2.0	2.0	1.0	1.0	2.0	5
APM.DE	3.9	1.5	1.0	0.0	0.0	1.0	1.0	1.0	5
BC8.DE	3.2	1.0	0.0	0.0	0.5	1.0	1.0	1.0	4
AMD.EUR	2.9	2.0	1.0	0.0	0.0	0.5	0.5	0.0	7
BEZ.DE	3.2	0.0	0.0	2.0	0.5	1.0	1.0	0.0	5
BIKE.DE	5.4	1.0	1.0	2.0	0.5	1.0	1.0	1.0	5
BMW.DE	3.6	0.5	1.0	0.0	1.0	1.0	1.0	0.5	5
BST.DE	3.9	0.0	1.5	1.0	0.0	1.0	1.0	1.0	5
BXT.DE	4.6	1.5	1.0	1.0	1.0	1.0	1.0	0.0	4
C1V0.DE	5.0	1.5	1.0	0.0	1.0	1.0	1.0	1.5	5
CDZ0.DE	2.9	0.0	1.0	0.0	0.0	1.0	1.0	1.0	4
CAP.DE	4.6	0.5	1.0	0.0	2.0	1.0	1.0	1.0	5
CEK.DE	3.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	3
CLIQ.DE	2.5	0.0	1.5	0.0	0.0	1.0	1.0	0.0	5
CYR.DE	3.9	1.0	1.5	0.0	0.0	1.0	1.0	1.0	4
