PR	Permian Resources Corp	23.87	94.44%	Strong Buy	2.61%
NUWE	Nuwellis Inc	1.12			0%
CLDX	Celldex Therapeutics Inc	39.94	92.86%	Strong Buy	0%
CLSK	Cleanspark Inc	12.60	100.00%	Strong Buy	0%
COCP	Cocrystal Pharma Inc	1.17	100.00%	Moderate Buy	0%
CTRM	Castor Maritime Inc	2.27			0%
KUST	Kustom Entertainment Inc	1.01			0%
PUBM	PUBMATIC INC-CLASS A	16.39	88.89%	Strong Buy	0%
EGAN	eGain Corp	7.26			0%
APP	Applovin Corp	308.77	78.26%	Strong Buy	0%
FRSX	Foresight Autonomous Holdings Ltd-ADR	1.15			0%
GEVO	Gevo Inc	1.51	100.00%	Moderate Buy	0%
GLBS	Globus Maritime Ltd	3.62	100.00%	Moderate Buy	0%
TOON	Kartoon Studios Inc	0.65			0%
ALGM	Allegro MicroSystems Inc	37.19	85.71%	Strong Buy	0%
XTIA	XTI Aerospace Inc	1.39			0%
IZEA	IZEA Worldwide Inc	3.04			0%
JAGX	Jaguar Health Inc	0.87			0%
NEGG	Newegg Commerce Inc	18.56			0%
