TPR	6.8	1.0	1.0	1.0	2.0	1.5	1.0	2.0	1.5	1.5	2.0	1.5	0.0	1.5	1.5	2.0	1.5	0.5	1.5	18
ANVS	4.0	1.0	1.0	0.5	2.0	0.5	1.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	11
RBT.PA	6.5	1.0	1.0	1.0	1.0	1.5	1.0	2.0	1.0	1.0	1.0	1.5	1.5	1.5	2.0	2.0	1.0	1.5	1.0	16
MATAS.CO	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	0.5	1.5	0.5	2.0	2.0	1.5	2.0	2.0	0.5	0.5	1.0	16
SMHI	3.3	1.0	0.0	1.0	0.5	0.5	0.0	0.5	0.0	0.0	0.5	1.0	1.5	1.0	1.5	1.0	0.0	2.0	0.0	16
ALATI.PA	6.0	1.0	1.0	1.0	1.0	0.5	1.0	2.0	0.5	2.0	0.5	1.0	2.0	1.5	2.0	1.0	0.5	2.0	1.0	14
FIBK	6.0	1.5	0.0	1.0	1.5	2.0	1.0	0.0	2.0	1.0	1.0	0.5	1.5	1.0	1.5	2.0	0.0	2.0	2.0	16
FRA.DE	6.1	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.5	0.0	1.5	0.5	1.5	1.5	1.5	2.0	1.5	2.0	2.0	17
PHM	6.5	2.0	2.0	1.0	0.0	1.5	0.5	1.0	1.5	1.0	1.5	1.5	1.5	1.5	2.0	2.0	1.0	1.0	1.0	18
WMB	6.0	1.0	2.0	1.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	0.5	1.0	1.0	1.0	2.0	0.0	2.0	18
ANA.MC	5.7	1.5	1.0	1.0	1.0	1.0	1.0	2.0	0.5	0.0	1.5	2.0	1.5	1.0	2.0	0.0	0.5	2.0	1.0	16
ALGT	7.1	2.0	0.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.5	2.0	1.5	1.5	2.0	1.0	1.0	2.0	1.0	18
1GBS.DE	5.3	1.5	1.0	1.5	1.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	1.5	1.0	0.0	2.0	0.0	0.5	1.0	10
ERO	6.2	1.5	0.0	1.0	0.0	2.0	2.0	1.5	2.0	0.5	0.5	2.0	1.0	1.5	1.5	1.0	2.0	0.5	2.0	18
NEM	7.4	0.5	1.0	1.0	0.0	2.0	1.5	2.0	2.0	1.5	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	18
COLL	6.9	1.0	2.0	1.0	0.0	1.0	1.0	2.0	0.5	2.0	1.0	2.0	1.5	2.0	1.5	1.0	2.0	1.5	2.0	18
MUX.DE	4.4	1.0	1.0	1.0	1.0	0.5	1.0	1.5	0.0	0.0	0.5	1.0	2.0	1.0	2.0	0.0	0.0	2.0	0.5	14
ADC	6.8	2.0	2.0	1.0	1.0	2.0	1.5	2.0	2.0	1.5	1.5	1.0	1.5	1.0	0.5	0.0	2.0	0.0	2.0	18
A1OS.DE	4.6	2.0	1.0	1.0	1.0	0.5	1.0	0.5	0.0	2.0	0.5	1.0	1.0	0.0	2.0	0.0	0.5	1.5	1.0	15
8306.T	6.4	1.0	1.0	1.0	2.0	2.0	2.0	0.0	2.0	1.0	1.5	0.0	1.5	1.0	2.0	2.0	0.0	2.0	1.0	14
ACA.US	5.3	1.0	0.0	1.0	1.0	1.5	1.0	1.0	1.0	0.5	0.5	1.5	1.5	1.0	1.5	2.0	1.0	1.0	1.0	18
EBF	6.7	2.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	2.0	0.5	1.0	1.5	2.0	2.0	2.0	1.0	1.0	1.5	16
SGR.ASX	4.2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.5	1.0	1.5	1.0	2.0	1.0	0.0	2.0	0.0	13
ABEV	7.1	1.0	0.0	1.0	0.0	1.5	1.0	2.0	1.5	2.0	1.5	1.5	1.5	2.0	2.0	1.5	1.5	2.0	2.0	18
VIL.PA	5.1	0.0	1.0	1.0	1.0	1.5	1.0	2.0	1.5	1.0	1.0	0.0	1.5	1.0	1.0	2.0	0.0	1.0	1.0	10
BXT.DE	3.6	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.5	1.0	9
