TSCO.L	Tesco	463.50			3.12%
TTG.L	Tt Electronics Plc	135.00			0%
TTST.L	Tata Steel Limited	19.25			0%
TW.L	Taylor Wimpey	84.96			8.98%
ULVR.L	Unilever	4.75K			3.47%
UTG.L	UNITE Group PLC	530.00			7.13%
UU.L	United Utilities	1.43K			3.74%
VALT.L	Valterra Platinum Limited	6.33K			5.63%
VANQ.L	Vanquis Banking Group PLC	80.10			0%
VCT.L	Victrex PLC	826.00			7.18%
VID.L	Videndum Plc	225.00			0%
VLX.L	Volex Plc	627.00			0.78%
VOD.L	Vodafone Group PLC	118.05			3.35%
VOF.L	VinaCapital Vietnam Opportunity Fund	438.00			0%
VP.L	Vp Plc	471.00			8.28%
VSVS.L	Vesuvius PLC	390.40			4.23%
VTY.L	Vistry Group PLC	312.20			0%
WEIR.L	Weir PLC	2.91K			1.43%
WIL.L	Wilmington Plc	266.00			4.30%
WISE.L	Wise Ltd	957.80			0%
WIX.L	Wickes Group Plc	195.40			5.57%
WIZZ.L	Wizz Air Holdings Plc	1.08K			0%
WKP.L	Workspace Group PLC	364.00			7.19%
WOSG.L	Watches of Switzerland Group plc	683.50			0%
WPP.L	WPP	392.10			3.82%
WTB.L	Whitbread	2.47K			3.92%
XAR.L	Xaar Plc	113.50			0%
XPP.L	Xp Power Ld	1.80K			0%
XPS.L	Xps Pensions Group Plc	317.00			1.30%
YNGA.L	Young & CoS Brewery Plc	866.00			2.80%
YNGN.L	Young & CoS Brewery Plc -Nv	744.00			3.26%
ZEG.L	Zegona Communications Plc	1.64K			0%
ZIG.L	Zigup PLC	463.00			5.68%
ZTF.L	Zotefoams Plc	434.50			1.80%
